index;filename;filename_questions;filename_answers;ticker;company_name_transcript
20;2017-Oct-12-JPM.N-138888592504-Transcript.txt;20_questions.txt;20_answers.txt;JPM;JPMorgan Chase & Co
21;2013-Feb-12-KO.N-137022867242-Transcript.txt;21_questions.txt;21_answers.txt;KO;The Coca-Cola Company
22;2013-Apr-16-KO.N-139599548880-Transcript.txt;22_questions.txt;22_answers.txt;KO;The Coca-Cola Company
23;2013-Jul-16-KO.N-140843862347-Transcript.txt;23_questions.txt;23_answers.txt;KO;The Coca-Cola Company
24;2013-Oct-15-KO.N-138489121635-Transcript.txt;24_questions.txt;24_answers.txt;KO;The Coca-Cola Company
25;2014-Feb-18-KO.N-138408934080-Transcript.txt;25_questions.txt;25_answers.txt;KO;The Coca-Cola Company
26;2014-Apr-15-KO.N-139157937760-Transcript.txt;26_questions.txt;26_answers.txt;KO;The Coca-Cola Company
27;2014-Jul-22-KO.N-138547566546-Transcript.txt;27_questions.txt;27_answers.txt;KO;The Coca-Cola Company
28;2014-Oct-21-KO.N-140354489389-Transcript.txt;28_questions.txt;28_answers.txt;KO;The Coca-Cola Co
29;2015-Feb-10-KO.N-138013855540-Transcript.txt;29_questions.txt;29_answers.txt;KO;The Coca-Cola Co
30;2015-Apr-22-KO.N-137018502034-Transcript.txt;30_questions.txt;30_answers.txt;KO;The Coca-Cola Co
31;2015-Jul-22-KO.N-139813926443-Transcript.txt;31_questions.txt;31_answers.txt;KO;Coca-Cola Co
32;2015-Oct-21-KO.N-137832140186-Transcript.txt;32_questions.txt;32_answers.txt;KO;Coca-Cola Co
33;2016-Feb-09-KO.N-140614720811-Transcript.txt;33_questions.txt;33_answers.txt;KO;Coca-Cola Co
34;2016-Apr-20-KO.N-141172130225-Transcript.txt;34_questions.txt;34_answers.txt;KO;Coca-Cola Co
35;2016-Jul-27-KO.N-141070210688-Transcript.txt;35_questions.txt;35_answers.txt;KO;Coca-Cola Co
36;2016-Oct-26-KO.N-140963352890-Transcript.txt;36_questions.txt;36_answers.txt;KO;Coca-Cola Co
37;2017-Feb-09-KO.N-138416362262-Transcript.txt;37_questions.txt;37_answers.txt;KO;Coca-Cola Co
38;2017-Apr-25-KO.N-138858781409-Transcript.txt;38_questions.txt;38_answers.txt;KO;Coca-Cola Co
39;2017-Jul-26-KO.N-137990434146-Transcript.txt;39_questions.txt;39_answers.txt;KO;Coca-Cola Co
40;2017-Oct-25-KO.N-136945571518-Transcript.txt;40_questions.txt;40_answers.txt;KO;Coca-Cola Co
41;2013-Feb-27-TGT.N-139792946792-Transcript.txt;41_questions.txt;41_answers.txt;TGT;Target Corporation
42;2013-May-22-TGT.N-136980779761-Transcript.txt;42_questions.txt;42_answers.txt;TGT;Target Corporation
43;2013-Aug-21-TGT.N-139892388396-Transcript.txt;43_questions.txt;43_answers.txt;TGT;Target Corporation
44;2013-Nov-21-TGT.N-138993533906-Transcript.txt;44_questions.txt;44_answers.txt;TGT;Target Corporation
45;2014-Feb-26-TGT.N-137355844814-Transcript.txt;45_questions.txt;45_answers.txt;TGT;Target Corporation
46;2014-May-21-TGT.N-139074919254-Transcript.txt;46_questions.txt;46_answers.txt;TGT;Target Corporation
47;2014-Aug-20-TGT.N-138325416922-Transcript.txt;47_questions.txt;47_answers.txt;TGT;Target Corporation
48;2014-Nov-19-TGT.N-141033583785-Transcript.txt;48_questions.txt;48_answers.txt;TGT;Target Corp
49;2015-Feb-25-TGT.N-138988132416-Transcript.txt;49_questions.txt;49_answers.txt;TGT;Target Corp
50;2015-May-20-TGT.N-137082306821-Transcript.txt;50_questions.txt;50_answers.txt;TGT;Target Corp
51;2015-Aug-19-TGT.N-137786497465-Transcript.txt;51_questions.txt;51_answers.txt;TGT;Target Corp
52;2015-Nov-18-TGT.N-140736694649-Transcript.txt;52_questions.txt;52_answers.txt;TGT;Target Corp
53;2016-Feb-24-TGT.N-137915462232-Transcript.txt;53_questions.txt;53_answers.txt;TGT;Target Corp
54;2016-May-18-TGT.N-139736856349-Transcript.txt;54_questions.txt;54_answers.txt;TGT;Target Corp
55;2016-Aug-17-TGT.N-137580578182-Transcript.txt;55_questions.txt;55_answers.txt;TGT;Target Corp
56;2016-Nov-16-TGT.N-138221177745-Transcript.txt;56_questions.txt;56_answers.txt;TGT;Target Corp
57;2017-Feb-28-TGT.N-138037321026-Transcript.txt;57_questions.txt;57_answers.txt;TGT;Target Corp
58;2017-May-17-TGT.N-137922466556-Transcript.txt;58_questions.txt;58_answers.txt;TGT;Target Corp
59;2017-Aug-16-TGT.N-138067107203-Transcript.txt;59_questions.txt;59_answers.txt;TGT;Target Corp
60;2017-Nov-15-TGT.N-137953624001-Transcript.txt;60_questions.txt;60_answers.txt;TGT;Target Corp
